Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Toronto FC,34,20,9,5,74,37,+37,69,27647,Sebastian Giovinco - 16,Alex Bono,→ Conference Semifinals
2,NYCFC,34,16,9,9,56,43,+13,57,22321,David Villa - 22,Sean Johnson,→ Conference Semifinals
3,Chicago,34,16,7,11,61,47,+14,55,17383,Nemanja Nikolić - 24,Matt Lampson,→ Knockout round
4,Atlanta,34,15,10,9,70,40,+30,55,48200,Josef Martínez - 19,Alec Kann,→ Knockout round
5,Columbus,34,16,6,12,53,49,+4,54,15439,Ola Kamara - 18,Zack Steffen,→ Knockout round
6,NY Red Bulls,34,14,8,12,53,47,+6,50,21175,Bradley Wright-Phillips - 17,Luis Robles,→ Knockout round
7,New England,34,13,6,15,53,61,-8,45,19367,Kei Kamara - 12,Cody Cropper,
8,Philadelphia,34,11,9,14,50,47,+3,42,16812,C.J. Sapong - 16,Andre Blake,
9,Montreal,34,11,6,17,52,58,-6,39,20046,Ignacio Piatti - 17,Evan Bush,
10,Orlando City,34,10,9,15,39,58,-19,39,25028,Cyle Larin - 12,Joe Bendik,
11,D.C. United,34,9,5,20,31,60,-29,32,17904,Patrick Mullins Luciano Acosta - 5,Bill Hamid,
