,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
22,Dan Kennedy,us USA,GK,LA Galaxy,33,1982,3,2,115,1.3,3,2.35,7,4,0.571,0,1,0,0,0,0,0,0,0,Matches
23,Brad Knighton,us USA,GK,New England,30,1985,13,13,"1,153",12.8,16,1.25,47,31,0.723,6,1,6,2,15.4,3,3,0,0,Matches
24,Eric Kronberg,us USA,GK,Montreal,32,1983,2,1,129,1.4,3,2.09,5,2,0.6,0,1,0,0,0,1,1,0,0,Matches
25,Matt Lampson,us USA,GK,Chicago,26,1989,11,11,990,11,18,1.64,55,37,0.691,1,4,6,3,27.3,1,1,0,0,Matches
26,Adam Larsen Kwarasey,gh GHA,GK,Portland,28,1987,7,6,581,6.5,13,2.01,31,18,0.613,2,2,3,0,0,1,1,0,0,Matches
27,Zac MacMath,us USA,GK,Colorado,24,1991,17,17,"1,530",17,13,0.76,57,44,0.772,9,5,3,6,35.3,1,0,0,1,Matches
28,John McCarthy,us USA,GK,Philadelphia,23,1992,1,1,90,1,3,3,5,2,0.4,0,0,1,0,0,0,0,0,0,Matches
29,Patrick McLain,us USA,GK,Chicago,27,1988,1,1,90,1,3,3,6,3,0.667,0,0,1,0,0,1,1,0,0,Matches
30,Tim Melia,us USA,GK,Sporting KC,29,1986,27,27,"2,430",27,30,1.11,94,64,0.713,11,5,11,8,29.6,4,3,1,0,Matches
31,Tyler Miller,us USA,GK,Seattle,22,1993,1,1,90,1,2,2,4,2,0.5,0,0,1,0,0,0,0,0,0,Matches
32,David Ousted,dk DEN,GK,Vancouver,30,1985,33,33,"2,970",33,52,1.58,162,110,0.716,10,8,15,6,18.2,8,6,1,1,Matches
33,Nick Rimando,us USA,GK,Real Salt Lake,36,1979,30,30,"2,700",30,40,1.33,136,96,0.728,11,10,9,6,20,4,3,1,0,Matches
34,Luis Robles,us USA,GK,NY Red Bulls,31,1984,34,34,"3,060",34,44,1.29,142,98,0.711,16,9,9,11,32.4,4,3,1,0,Matches
35,Brian Rowe,us USA,GK,LA Galaxy,27,1988,31,30,"2,765",30.7,33,1.07,113,80,0.726,12,14,5,9,30,3,2,1,0,Matches
36,Josh Saunders,pr PUR,GK,NYCFC,34,1981,33,33,"2,970",33,56,1.7,158,102,0.677,14,9,10,8,24.2,6,5,1,0,Matches
37,Chris Seitz,us USA,GK,FC Dallas,28,1987,28,28,"2,520",28,29,1.04,94,65,0.723,14,9,5,10,35.7,4,3,1,0,Matches
38,Bobby Shuttleworth,us USA,GK,New England,28,1987,21,20,"1,816",20.2,38,1.88,86,48,0.605,4,8,8,5,25,5,4,1,0,Matches
39,Brad Stuver,us USA,GK,Columbus,24,1991,2,2,180,2,7,3.5,15,8,0.533,0,0,2,0,0,1,0,1,0,Matches
40,Andrew Tarbell,us USA,GK,San Jose,22,1993,1,1,44,0.5,1,2.05,2,1,1,0,0,0,0,0,1,1,0,0,Matches
41,Paolo Tornaghi,it ITA,GK,Vancouver,27,1988,1,1,90,1,0,0,6,6,1,0,1,0,1,100,0,0,0,0,Matches
42,Joe Willis,us USA,GK,Houston,27,1988,26,24,"2,276",25.3,39,1.54,129,90,0.736,5,9,11,5,20.8,6,5,0,1,Matches
43,Travis Worra,us USA,GK,D.C. United,22,1993,13,13,"1,170",13,18,1.38,52,34,0.654,3,4,6,4,30.8,0,0,0,0,Matches
