Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min,xG_expected,npxG_expected,xA_expected,xG_per90min,xA_per90min,xG_plus_xA_per90min,npxG_per90min,npxG_plus_xA_per90min
156,Marky Delgado\Marky-Delgado,us USA,MF,Toronto FC,22,1995,28,21,1983,2,2,0,0,3,0,0.09,0.09,0.18,0.09,0.18,1.8,1.8,2.2,0.08,0.1,0.18,0.08,0.18
157,Clint Dempsey\Clint-Dempsey,us USA,MFFW,Seattle,34,1983,14,9,905,1,1,0,0,1,1,0.1,0.1,0.2,0.1,0.2,3.3,3.3,1.5,0.33,0.15,0.48,0.33,0.48
158,Gregory van der Wiel\Gregory-van-der-Wiel,nl NED,DF,Toronto FC,29,1988,27,25,2296,0,4,0,0,2,1,0,0.16,0.16,0,0.16,0.1,0.1,1.9,0.01,0.08,0.08,0.01,0.08
159,Tyler Deric\Tyler-Deric,us USA,GK,Houston,29,1988,2,2,180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Mauro Díaz\Mauro-Diaz,ar ARG,MFFW,FC Dallas,26,1991,12,9,803,2,5,2,2,3,0,0.22,0.56,0.78,0,0.56,3.2,1.7,3,0.36,0.34,0.7,0.19,0.53
161,Claude Dielna\Claude-Dielna,GPE,DF,New England,30,1987,17,15,1333,0,0,0,0,6,1,0,0,0,0,0,1,1,0.4,0.07,0.03,0.09,0.07,0.09
162,Adama Diomande\Adama-Diomande,no NOR,FW,Los Angeles FC,27,1990,18,14,1248,12,4,0,0,1,0,0.87,0.29,1.15,0.87,1.15,9.4,9.4,2,0.68,0.14,0.82,0.68,0.82
163,Bořek Dočkal\Borek-Dockal,cz CZE,MF,Philadelphia,29,1988,31,30,2380,5,11,1,1,1,0,0.19,0.42,0.61,0.15,0.57,4,3.2,8.4,0.15,0.32,0.47,0.12,0.44
164,Marco Donadel\Marco-Donadel,it ITA,DF,Montreal,34,1983,2,1,97,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
165,Giovani dos Santos\Giovani-dos-Santos,mx MEX,MFFW,LA Galaxy,28,1989,14,10,823,3,2,0,0,2,0,0.33,0.22,0.55,0.33,0.55,3.3,3.3,1.7,0.36,0.18,0.54,0.36,0.54
166,Jonathan dos Santos\Jonathan-dos-Santos,mx MEX,MF,LA Galaxy,27,1990,23,22,1907,2,4,0,0,3,0,0.09,0.19,0.28,0.09,0.28,0.7,0.7,1.4,0.03,0.07,0.1,0.03,0.1
167,Kyle Duncan\Kyle-Duncan,us USA,DF,NY Red Bulls,20,1997,4,4,360,0,1,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0.3,0,0.07,0.07,0,0.07
168,Julian Dunn-Johnson\Julian-Dunn-Johnson,ca CAN,DF,Toronto FC,17,2000,2,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Chris Durkin\Chris-Durkin,us USA,MF,D.C. United,17,2000,23,16,1506,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,0.3,0.03,0.02,0.04,0.03,0.04
170,Chris Duvall\Chris-Duvall,us USA,DF,Montreal,26,1991,15,14,1192,0,1,0,0,4,0,0,0.08,0.08,0,0.08,0,0,0.8,0,0.06,0.07,0,0.07
171,Dom Dwyer\Dom-Dwyer,us USA,FW,Orlando City,27,1990,26,25,2242,13,0,0,0,9,0,0.52,0,0.52,0.52,0.52,11.2,11.2,0.4,0.45,0.01,0.46,0.45,0.46
172,Jeremy Ebobisse\Jeremy-Ebobisse,us USA,FW,Portland,20,1997,9,5,450,2,0,0,0,1,0,0.4,0,0.4,0.4,0.4,1.9,1.9,0.6,0.38,0.12,0.5,0.38,0.5
173,Earl Edwards Jr.\Earl-Edwards-Jr,us USA,GK,Orlando City,26,1992,5,5,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Raheem Edwards\Raheem-Edwards,ca CAN,FWMF,Montreal,22,1995,14,9,808,2,0,0,0,3,0,0.22,0,0.22,0.22,0.22,1.4,1.4,0.5,0.16,0.05,0.21,0.16,0.21
175,Raheem Edwards\Raheem-Edwards,ca CAN,FWMF,Chicago,22,1995,13,10,916,1,2,0,0,0,0,0.1,0.2,0.29,0.1,0.29,1.4,1.4,2.6,0.14,0.26,0.4,0.14,0.4
176,Alberth Elis\Alberth-Elis,hn HON,FW,Houston,21,1996,30,27,2414,11,9,2,2,6,1,0.41,0.34,0.75,0.34,0.67,13.2,11.7,7.8,0.49,0.29,0.78,0.43,0.73
177,Jack Elliott\Jack-Elliott,eng ENG,DF,Philadelphia,22,1995,17,16,1429,2,0,0,0,7,1,0.13,0,0.13,0.13,0.13,1.6,1.6,0,0.1,0,0.1,0.1,0.1
178,Kevin Ellis\Kevin-Ellis,us USA,DFFW,D.C. United,26,1991,2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Kevin Ellis\Kevin-Ellis,us USA,DF,Chicago,26,1991,20,19,1531,2,3,0,0,3,0,0.12,0.18,0.29,0.12,0.29,0.6,0.6,0.9,0.04,0.05,0.09,0.04,0.09
180,Marcus Epps\Marcus-Epps,us USA,FW,Philadelphia,23,1995,13,8,606,1,0,0,0,0,0,0.15,0,0.15,0.15,0.15,1.7,1.7,0.7,0.26,0.1,0.36,0.26,0.36
181,Magnus Eriksson\Magnus-Eriksson,se SWE,MFFW,San Jose,27,1990,32,29,2484,6,3,3,3,2,0,0.22,0.11,0.33,0.11,0.22,5.3,3,4.3,0.19,0.15,0.35,0.11,0.26
182,Fidel Escobar\Fidel-Escobar,pa PAN,DF,NY Red Bulls,23,1995,6,4,375,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.08,0,0.08,0.08,0.08
183,Franco Escobar\Franco-Escobar,ar ARG,DF,Atlanta,22,1995,22,20,1788,1,0,0,0,7,0,0.05,0,0.05,0.05,0.05,1.1,1.1,1.1,0.06,0.06,0.11,0.06,0.11
184,Roger Espinoza\Roger-Espinoza,hn HON,MF,Sporting KC,31,1986,32,32,2820,3,6,0,0,9,1,0.1,0.19,0.29,0.1,0.29,2.8,2.8,5.1,0.09,0.17,0.26,0.09,0.26
185,Derrick Etienne\Derrick-Etienne,ht HAI,FW,NY Red Bulls,21,1996,30,9,970,5,0,0,1,1,0,0.46,0,0.46,0.46,0.46,6.8,6,1.2,0.63,0.12,0.75,0.56,0.68
186,Fabinho\Fabinho,br BRA,DF,Philadelphia,32,1985,11,8,715,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0,0.05,0.05,0,0.05
187,Diego Fagúndez\Diego-Fagundez,uy URU,MFFW,New England,22,1995,33,30,2661,9,8,1,2,9,0,0.3,0.27,0.57,0.27,0.54,7,5.6,7.8,0.24,0.26,0.5,0.19,0.45
188,Rod Fanni\Rod-Fanni,fr FRA,DF,Montreal,36,1981,26,26,2289,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,0.2,0.2,0.2,0.01,0.01,0.01,0.01,0.01
189,Marco Farfan\Marco-Farfan,us USA,DFFW,Portland,19,1998,11,6,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.07,0.07,0,0.07
190,Andrew Farrell\Andrew-Farrell,us USA,DF,New England,25,1992,31,30,2701,2,2,0,0,2,0,0.07,0.07,0.13,0.07,0.13,0.7,0.7,2.1,0.02,0.07,0.09,0.02,0.09
