Squad,No_Pl,MP,Starts,Min,Nineties,GA,GA90,SoTA,Saves,Save_pct,W,D,L,CS,CS_pct,PKatt,PKA,PKsv,PKm
Chicago,3,34,34,3060,34,58,1.71,167,109,0.671,7,10,17,8,23.5,3,3,0,0
Colorado,2,34,34,3060,34,32,0.94,129,97,0.783,15,13,6,13,38.2,7,4,2,1
Columbus,2,34,34,3060,34,58,1.71,176,118,0.693,8,12,14,8,23.5,6,4,2,0
D.C. United,3,34,34,3060,34,47,1.38,153,106,0.719,11,13,10,9,26.5,4,4,0,0
FC Dallas,2,34,34,3060,34,40,1.18,118,78,0.686,17,9,8,12,35.3,4,3,1,0
Houston,2,34,34,3048,34,45,1.33,160,115,0.75,7,13,14,9,26.5,6,5,0,1
LA Galaxy,3,34,34,3060,34,39,1.15,135,96,0.733,12,16,6,9,26.5,4,3,1,0
Montreal,2,34,34,3060,34,53,1.56,160,107,0.7,11,12,11,6,17.6,6,5,1,0
New England,3,34,34,3059,34,54,1.59,135,81,0.652,11,9,14,8,23.5,8,7,1,0
NY Red Bulls,1,34,34,3060,34,44,1.29,142,98,0.711,16,9,9,11,32.4,4,3,1,0
NYCFC,2,34,34,3060,34,57,1.68,164,107,0.683,15,9,10,8,23.5,6,5,1,0
Orlando City,1,34,34,3060,34,60,1.76,177,117,0.684,9,14,11,5,14.7,7,4,2,1
Philadelphia,3,34,34,3060,34,55,1.62,160,105,0.656,11,9,14,6,17.6,1,0,1,0
Portland,2,34,34,3060,34,53,1.56,184,131,0.75,12,8,14,6,17.6,7,7,0,0
Real Salt Lake,2,34,34,3060,34,46,1.35,149,103,0.718,12,10,12,6,17.6,5,4,1,0
San Jose,2,34,34,3060,34,40,1.18,107,67,0.673,8,14,12,8,23.5,5,5,0,0
Seattle,2,34,34,3060,34,43,1.26,140,97,0.736,14,6,14,8,23.5,8,6,1,1
Sporting KC,2,34,34,3060,34,41,1.21,122,81,0.689,13,8,13,10,29.4,4,3,1,0
Toronto FC,2,34,34,3060,34,39,1.15,135,96,0.733,14,11,9,10,29.4,3,3,0,0
Vancouver,2,34,34,3060,34,52,1.53,168,116,0.726,10,9,15,7,20.6,8,6,1,1
