Squad,No_Pl,MP,Starts,Min,Nineties,GA,GA90,SoTA,Saves,Save_pct,W,D,L,CS,CS_pct,PKatt,PKA,PKsv,PKm
Atlanta,3,34,34,3024,34,44,1.31,124,86,0.694,21,6,7,8,23.5,7,6,1,0
Chicago,3,34,34,3060,34,61,1.79,171,117,0.678,8,8,18,4,11.8,6,6,0,0
Colorado,2,34,34,3038,34,64,1.9,183,127,0.678,8,7,19,6,17.6,5,5,0,0
Columbus,2,34,34,3060,34,44,1.29,119,81,0.672,14,9,11,10,29.4,5,5,0,0
D.C. United,3,34,34,3060,34,50,1.47,158,111,0.69,14,9,11,6,17.6,2,1,0,1
FC Dallas,2,34,34,3060,34,44,1.29,137,98,0.715,16,9,9,10,29.4,7,5,2,0
Houston,3,34,34,3060,34,57,1.68,146,97,0.658,10,8,16,5,14.7,11,7,2,2
LA Galaxy,1,34,34,3060,34,65,1.91,170,115,0.653,13,9,12,8,23.5,8,6,1,1
Los Angeles FC,2,34,34,3060,34,50,1.47,160,115,0.725,16,9,9,10,29.4,8,6,2,0
Minnesota,2,34,34,3060,34,70,2.06,194,129,0.665,11,3,20,2,5.9,5,5,0,0
Montreal,1,34,34,3060,34,53,1.56,173,130,0.728,14,4,16,10,29.4,8,6,2,0
New England,2,34,34,3060,34,55,1.62,163,116,0.687,10,11,13,7,20.6,5,4,1,0
NY Red Bulls,2,34,34,3060,34,34,1,119,89,0.731,22,5,7,15,44.1,4,2,1,1
NYCFC,2,34,34,3060,34,45,1.32,148,105,0.703,16,8,10,10,29.4,3,1,1,1
Orlando City,3,34,34,3060,34,75,2.21,175,108,0.6,8,4,22,2,5.9,7,5,2,0
Philadelphia,2,34,34,3060,34,50,1.47,161,120,0.739,15,5,14,11,32.4,8,8,0,0
Portland,3,34,34,3060,34,48,1.41,153,110,0.699,15,9,10,10,29.4,2,2,0,0
Real Salt Lake,2,34,34,3060,34,56,1.65,155,103,0.671,14,7,13,7,20.6,7,5,2,0
San Jose,2,34,34,3060,34,71,2.09,176,107,0.608,4,9,21,2,5.9,3,2,1,0
Seattle,2,34,34,3060,34,37,1.09,146,112,0.76,18,5,11,7,20.6,2,2,0,0
Sporting KC,1,34,34,3060,34,41,1.21,135,101,0.733,18,8,8,13,38.2,8,5,3,0
Toronto FC,2,34,34,3060,34,64,1.88,173,115,0.665,10,6,18,3,8.8,7,6,1,0
Vancouver,2,34,34,3060,34,67,1.97,149,94,0.611,13,8,13,2,5.9,12,9,1,2
