Squad,No_Pl,MP,Starts,Min,Nineties,GA,GA90,SoTA,Saves,Save_pct,W,D,L,CS,CS_pct,PKatt,PKA,PKsv,PKm
Atlanta,4,34,34,3059,34,40,1.18,138,98,0.746,15,10,9,12,35.3,5,5,0,0
Chicago,3,34,34,3060,34,47,1.38,133,86,0.669,16,7,11,11,32.4,3,3,0,0
Colorado,2,34,34,3060,34,51,1.5,167,116,0.737,9,6,19,6,17.6,8,7,0,1
Columbus,1,34,34,3060,34,49,1.44,150,101,0.7,16,6,12,9,26.5,7,4,3,0
D.C. United,3,34,34,3060,34,60,1.76,181,121,0.696,9,5,20,7,20.6,7,5,1,1
FC Dallas,2,34,34,3060,34,48,1.41,138,90,0.674,11,13,10,9,26.5,5,3,1,1
Houston,2,34,34,3060,34,45,1.32,133,88,0.684,13,11,10,8,23.5,3,3,0,0
LA Galaxy,3,34,34,3060,34,67,1.97,185,118,0.654,8,8,18,6,17.6,4,3,1,0
Minnesota,2,34,34,3060,34,70,2.06,189,119,0.667,10,6,18,5,14.7,9,7,2,0
Montreal,2,34,34,3060,34,58,1.71,154,96,0.649,11,6,17,5,14.7,5,4,0,1
New England,2,34,34,3060,34,61,1.79,155,94,0.639,13,6,15,9,26.5,5,5,0,0
NY Red Bulls,1,34,34,3060,34,47,1.38,147,100,0.735,14,8,12,10,29.4,9,8,1,0
NYCFC,2,34,34,3060,34,43,1.26,144,101,0.722,16,9,9,7,20.6,4,3,0,1
Orlando City,2,34,34,3060,34,58,1.71,177,119,0.695,10,9,15,7,20.6,5,4,0,1
Philadelphia,2,34,34,3060,34,47,1.38,172,125,0.762,11,9,14,10,29.4,7,6,1,0
Portland,2,34,34,3060,34,50,1.47,145,95,0.676,15,8,11,7,20.6,4,3,0,1
Real Salt Lake,2,34,34,3060,34,55,1.62,155,100,0.658,13,6,15,9,26.5,4,2,2,0
San Jose,2,34,34,3060,34,60,1.76,159,99,0.635,13,7,14,9,26.5,3,2,1,0
Seattle,2,34,34,3060,34,39,1.15,127,88,0.732,14,11,9,13,38.2,6,5,0,1
Sporting KC,2,34,34,3060,34,29,0.85,130,101,0.792,12,13,9,11,32.4,5,2,3,0
Toronto FC,2,34,34,3060,34,37,1.09,123,86,0.724,20,9,5,13,38.2,5,3,1,1
Vancouver,4,34,34,3059,34,49,1.44,159,110,0.717,15,7,12,7,20.6,5,4,0,1
