Squad,No_Pl,MP,Starts,Min,Nineties,GA,GA90,SoTA,Saves,Save_pct,W,D,L,CS,CS_pct,PKatt,PKA,PKsv,PKm
Atlanta,1,34,34,3060,34,43,1.26,130,91,0.692,18,4,12,14,41.2,5,3,1,1
Chicago,2,34,34,3060,34,47,1.38,135,94,0.681,10,12,12,9,26.5,5,4,1,0
Colorado,2,34,34,3060,34,63,1.85,153,103,0.634,12,6,16,6,17.6,9,7,2,0
Columbus,4,34,34,3060,34,47,1.38,128,85,0.664,10,8,16,5,14.7,5,4,1,0
D.C. United,2,34,34,3060,34,38,1.12,162,126,0.778,13,11,10,14,41.2,6,2,1,3
FC Cincinnati,2,34,34,3060,34,75,2.21,159,88,0.547,6,6,22,5,14.7,5,3,2,0
FC Dallas,2,34,34,3060,34,46,1.35,129,85,0.682,13,9,12,8,23.5,8,5,3,0
Houston,2,34,34,3060,34,59,1.74,158,107,0.671,12,4,18,3,8.8,7,7,0,0
LA Galaxy,2,34,34,3060,34,59,1.74,189,138,0.72,16,3,15,8,23.5,8,6,2,0
Los Angeles FC,2,34,34,3060,34,37,1.09,118,86,0.703,21,9,4,9,26.5,3,2,1,0
Minnesota,1,34,34,3060,34,44,1.29,169,128,0.757,15,8,11,11,32.4,4,3,1,0
Montreal,2,34,34,3060,34,60,1.76,137,84,0.606,12,5,17,8,23.5,7,6,1,0
New England,3,34,34,3057,34,57,1.68,182,127,0.709,11,12,11,6,17.6,5,4,1,0
NY Red Bulls,2,34,34,3060,34,51,1.5,131,87,0.656,14,6,14,9,26.5,7,6,1,0
NYCFC,2,34,34,3060,34,42,1.24,115,84,0.704,18,10,6,8,23.5,10,8,2,0
Orlando City,2,34,34,3060,34,52,1.53,158,107,0.677,9,10,15,7,20.6,1,1,0,0
Philadelphia,3,34,34,3060,34,50,1.47,126,82,0.643,16,7,11,6,17.6,6,5,1,0
Portland,2,34,34,3060,34,49,1.44,162,116,0.735,14,7,13,6,17.6,7,6,1,0
Real Salt Lake,2,34,34,3060,34,42,1.24,116,78,0.664,16,5,13,12,35.3,5,3,1,1
San Jose,1,34,34,3060,34,55,1.62,158,109,0.677,13,5,16,7,20.6,7,4,1,2
Seattle,1,34,34,3060,34,49,1.44,154,111,0.714,16,8,10,10,29.4,5,5,0,0
Sporting KC,3,34,34,3060,34,67,1.97,178,113,0.635,10,8,16,6,17.6,5,2,3,0
Toronto FC,2,34,34,3060,34,52,1.53,128,86,0.672,13,11,10,5,14.7,13,10,1,2
Vancouver,2,34,34,3060,34,59,1.74,201,150,0.746,8,10,16,5,14.7,8,8,0,0
