Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min,xG_expected,npxG_expected,xA_expected,xG_per90min,xA_per90min,xG_plus_xA_per90min,npxG_per90min,npxG_plus_xA_per90min
397,Kamal Miller\Kamal-Miller,ca CAN,DF,Orlando City,21,1997,16,14,1350,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01
398,Tyler Miller\Tyler-Miller,us USA,GK,Los Angeles FC,25,1993,28,28,2520,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,Alexandru Mitriță\Alexandru-Mitrita,ro ROU,FWMF,NYCFC,23,1995,29,24,2127,12,2,0,0,2,0,0.51,0.08,0.59,0.51,0.59,7.7,7.7,3.5,0.33,0.15,0.47,0.33,0.47
400,Wilfried Moimbé\Wilfried-Moimbe,fr FRA,DFFW,Minnesota,30,1988,4,4,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.02,0.01,0.02
401,Youness Mokhtar\Youness-Mokhtar,ma MAR,FW,Columbus,27,1991,8,5,440,1,0,0,0,1,0,0.2,0,0.2,0.2,0.2,1,1,1.5,0.21,0.3,0.51,0.21,0.51
402,Kevin Molino\Kevin-Molino,tt TRI,FWMF,Minnesota,28,1990,17,11,907,3,4,0,0,1,0,0.3,0.4,0.69,0.3,0.69,4,4,3,0.4,0.3,0.7,0.4,0.7
403,Mohamed El Monir\Mohamed-El-Monir,ly LBY,DF,Los Angeles FC,26,1992,15,4,590,1,0,0,0,2,0,0.15,0,0.15,0.15,0.15,0.6,0.6,1.4,0.09,0.21,0.3,0.09,0.3
404,Jamiro Monteiro\Jamiro-Monteiro,cv CPV,MF,Philadelphia,25,1993,26,22,2049,4,7,2,3,3,0,0.18,0.31,0.48,0.09,0.4,5.6,3.3,4.7,0.24,0.2,0.45,0.14,0.35
405,Fredy Montero\Fredy-Montero,co COL,FWMF,Vancouver,31,1987,32,22,2096,8,2,4,4,1,1,0.34,0.09,0.43,0.17,0.26,7.5,4.5,2.3,0.32,0.1,0.42,0.19,0.29
406,Drew Moor\Drew-Moor,us USA,DF,Toronto FC,35,1984,13,11,1024,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01
407,Joseph Mora\Joseph-Mora,cr CRC,DF,D.C. United,26,1993,20,18,1594,0,1,0,0,3,0,0,0.06,0.06,0,0.06,0.1,0.1,1.4,0.01,0.08,0.09,0.01,0.09
408,Maximiliano Moralez\Maximiliano-Moralez,ar ARG,MFFW,NYCFC,31,1987,29,28,2431,7,12,4,8,7,0,0.26,0.44,0.7,0.11,0.56,9.2,3.9,8.9,0.35,0.34,0.7,0.15,0.49
409,Jorge Moreira\Jorge-Moreira,py PAR,DF,Portland,28,1990,26,25,2231,2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.3,1.3,2.4,0.05,0.1,0.15,0.05,0.15
410,Amando Moreno\Amando-Moreno,us USA,FWMF,Chicago,23,1995,7,0,82,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.5,1.61,0.9,2.51,1.61,2.51
411,Junior Moreno\Junior-Moreno,ve VEN,MF,D.C. United,25,1993,29,29,2549,0,2,0,0,3,1,0,0.07,0.07,0,0.07,0.6,0.6,2.1,0.02,0.07,0.1,0.02,0.1
412,Ashtone Morgan\Ashtone-Morgan,ca CAN,DFMF,Toronto FC,27,1991,9,3,313,1,0,0,0,1,0,0.29,0,0.29,0.29,0.29,0.4,0.4,0,0.12,0,0.12,0.12,0.12
413,Jordan Morris\Jordan-Morris,us USA,FW,Seattle,24,1994,26,24,2036,10,6,0,0,2,0,0.44,0.27,0.71,0.44,0.71,8.4,8.4,4.1,0.37,0.18,0.55,0.37,0.55
414,Justin Morrow\Justin-Morrow,us USA,DF,Toronto FC,31,1987,28,26,2348,1,3,0,0,2,1,0.04,0.11,0.15,0.04,0.15,1.2,1.2,2.5,0.05,0.09,0.14,0.05,0.14
415,João Moutinho\Joao-Moutinho,pt POR,DF,Orlando City,21,1998,16,15,1220,0,2,0,0,1,0,0,0.15,0.15,0,0.15,0.7,0.7,1.4,0.05,0.1,0.15,0.05,0.15
416,Chris Mueller\Chris-Mueller,us USA,FWMF,Orlando City,22,1996,29,16,1370,5,3,0,0,1,0,0.33,0.2,0.53,0.33,0.53,2.1,2.1,3.6,0.14,0.23,0.37,0.14,0.37
417,Georges Mukumbilwa\Georges-Mukumbilwa,ca CAN,MF,Vancouver,19,1999,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Luke Mulholland\Luke-Mulholland,eng ENG,MF,Real Salt Lake,30,1988,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,Patrick Mullins\Patrick-Mullins,us USA,FW,Toronto FC,26,1992,8,4,348,2,0,0,0,0,0,0.52,0,0.52,0.52,0.52,1.1,1.1,0.3,0.28,0.07,0.34,0.28,0.34
420,Patrick Mullins\Patrick-Mullins,us USA,FWMF,Columbus,26,1992,9,2,202,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.14,0.05,0.18,0.14,0.18
421,Alex Muyl\Alex-Muyl,us USA,FWDF,NY Red Bulls,23,1995,24,17,1398,3,2,0,0,4,0,0.19,0.13,0.32,0.19,0.32,2.8,2.8,2.5,0.18,0.16,0.34,0.18,0.34
422,Darlington Nagbe\Darlington-Nagbe,us USA,MF,Atlanta,28,1990,33,32,2822,2,4,0,0,2,0,0.06,0.13,0.19,0.06,0.19,1.1,1.1,3.6,0.04,0.12,0.15,0.04,0.15
423,Nani\Nani,pt POR,FWMF,Orlando City,32,1986,30,26,2273,12,5,3,5,4,0,0.48,0.2,0.67,0.36,0.55,7.9,4,6.7,0.31,0.27,0.58,0.16,0.42
424,Sean Nealis\Sean-Nealis,us USA,DF,NY Red Bulls,22,1997,9,3,457,1,0,0,0,1,0,0.2,0,0.2,0.2,0.2,0.2,0.2,0,0.04,0,0.04,0.04,0.04
425,John Nelson\John-Nelson,us USA,DF,FC Dallas,20,1998,9,4,455,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.02,0.07,0.09,0.02,0.09
426,Krisztián Németh\Krisztian-Nemeth,hu HUN,FW,Sporting KC,30,1989,24,18,1559,8,2,0,1,5,1,0.46,0.12,0.58,0.46,0.58,10.1,9.4,2.1,0.58,0.12,0.71,0.54,0.66
427,Jake Nerwinski\Jake-Nerwinski,us USA,DF,Vancouver,24,1994,26,24,2021,1,0,0,0,1,0,0.04,0,0.04,0.04,0.04,0.3,0.3,0.5,0.01,0.02,0.03,0.01,0.03
428,Michee Ngalina\Michee-Ngalina,cd COD,FWMF,Philadelphia,18,2000,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,Lee Nguyen\Lee-Nguyen,us USA,MF,Los Angeles FC,32,1986,23,11,1178,0,4,0,0,3,0,0,0.31,0.31,0,0.31,1.1,1.1,3.2,0.08,0.24,0.32,0.08,0.32
430,Sam Nicholson\Sam-Nicholson,sco SCO,FWMF,Colorado,24,1995,27,19,1770,2,3,0,0,2,0,0.1,0.15,0.25,0.1,0.25,3.8,3.8,2.6,0.19,0.13,0.33,0.19,0.33
431,Gonzalo Nicolás Martínez\Gonzalo-Nicolas-Martinez,ar ARG,FWMF,Atlanta,25,1993,32,26,2140,5,7,2,3,2,0,0.21,0.29,0.5,0.13,0.42,7.9,5.6,6.1,0.33,0.26,0.59,0.24,0.49
432,Nemanja Nikolić\Nemanja-Nikolic,hu HUN,FW,Chicago,31,1987,31,25,1991,12,0,2,2,3,0,0.54,0,0.54,0.45,0.45,12.5,11,2.4,0.59,0.11,0.7,0.52,0.63
433,Harry Novillo\Harry-Novillo,fr FRA,FW,Montreal,26,1992,11,5,441,1,2,0,0,1,0,0.2,0.41,0.61,0.2,0.61,0.4,0.4,0.6,0.09,0.12,0.2,0.09,0.2
434,Shane O'Neill\Shane-ONeill,us USA,DF,Orlando City,25,1993,11,8,839,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.5,0.01,0.06,0.07,0.01,0.07
435,Alfonso Ocampo-Chavez\Alfonso-Ocampo-Chavez,us USA,FW,Seattle,16,2002,3,1,82,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.11,0.21,0.1,0.21
436,Chris Odoi-Atsem\Chris-Odoi-Atsem,us USA,DF,D.C. United,23,1995,3,1,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Ebenezer Ofori\Ebenezer-Ofori,gh GHA,MF,NYCFC,23,1995,20,14,1261,2,0,0,0,2,0,0.14,0,0.14,0.14,0.14,0.4,0.4,0.3,0.03,0.03,0.06,0.03,0.06
438,Orji Okwonkwo\Orji-Okwonkwo,ng NGA,FWMF,Montreal,21,1998,28,24,1769,8,2,0,0,4,0,0.41,0.1,0.51,0.41,0.51,6,6,2.2,0.3,0.11,0.42,0.3,0.42
