Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
1,Anatole Abang\Anatole-Abang,cm CMR,FW,NY Red Bulls,19,1996,8,2,225,0,0,0,0,0,0,0,0,0,0,0
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Sporting KC,24,1991,30,26,2378,0,3,0,0,1,0,0,0.11,0.11,0,0.11
3,David Accam\David-Accam,gh GHA,MFFW,Chicago,25,1990,24,21,1934,9,2,2,2,4,0,0.42,0.09,0.51,0.33,0.42
4,Kellyn Acosta\Kellyn-Acosta,us USA,MF,FC Dallas,20,1995,32,24,2330,2,3,0,0,4,0,0.08,0.12,0.19,0.08,0.19
5,Luciano Acosta\Luciano-Acosta,ar ARG,MFFW,D.C. United,21,1994,31,25,2100,3,8,0,0,9,0,0.13,0.34,0.47,0.13,0.47
6,Tyler Adams\Tyler-Adams,us USA,MF,NY Red Bulls,16,1999,1,1,45,0,0,0,0,0,0,0,0,0,0,0
7,Sam Adekugbe\Sam-Adekugbe,ca CAN,DF,Vancouver,21,1995,2,1,112,0,0,0,0,0,0,0,0,0,0,0
8,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Portland,25,1990,33,30,2646,16,0,2,4,7,0,0.54,0,0.54,0.48,0.48
9,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,29,1986,30,30,2561,3,3,0,0,1,1,0.11,0.11,0.21,0.11,0.21
10,Juan Agudelo\Juan-Agudelo,us USA,FWMF,New England,23,1992,24,14,1347,7,4,0,0,5,0,0.47,0.27,0.73,0.47,0.73
11,Miguel Aguilar\Miguel-Aguilar,mx MEX,MF,D.C. United,22,1993,6,0,96,0,0,0,0,0,0,0,0,0,0,0
